,label,text,precautions
406,impetigo,skin rash  high fever  blister  yellow crust ooze,soak affected area in warm water  use antibiotics  remove scabs with wet compressed cloth  consult doctor
407,impetigo,skin rash  high fever  blister  red sore around nose,soak affected area in warm water  use antibiotics  remove scabs with wet compressed cloth  consult doctor
408,impetigo,skin rash  high fever  blister  red sore around nose  yellow crust ooze,soak affected area in warm water  use antibiotics  remove scabs with wet compressed cloth  consult doctor
409,impetigo,skin rash  blister  red sore around nose  yellow crust ooze,soak affected area in warm water  use antibiotics  remove scabs with wet compressed cloth  consult doctor
410,fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
411,fungal infection,skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
412,fungal infection,itching  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
413,fungal infection,itching  skin rash  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
414,fungal infection,itching  skin rash  nodal skin eruptions,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
415,fungal infection,skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
416,fungal infection,itching  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
417,fungal infection,itching  skin rash  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
418,fungal infection,itching  skin rash  nodal skin eruptions,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
419,fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches,bath twice  use detol or neem in bathing water  keep infected area dry  use clean cloths
430,gerd,stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
431,gerd,stomach pain  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
432,gerd,stomach pain  acidity  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
433,gerd,stomach pain  acidity  ulcers on tongue  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
434,gerd,stomach pain  acidity  ulcers on tongue  vomiting  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
435,gerd,stomach pain  acidity  ulcers on tongue  vomiting  cough,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
436,gerd,acidity  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
437,gerd,stomach pain  ulcers on tongue  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
438,gerd,stomach pain  acidity  vomiting  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
439,gerd,stomach pain  acidity  ulcers on tongue  cough  chest pain,avoid fatty spicy food  avoid lying down after eating  maintain healthy weight  exercise
440,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
441,chronic cholestasis,vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
442,chronic cholestasis,itching  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
443,chronic cholestasis,itching  vomiting  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
444,chronic cholestasis,itching  vomiting  yellowish skin  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
445,chronic cholestasis,itching  vomiting  yellowish skin  nausea  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
446,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
447,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain,cold baths  anti itch medicine  consult doctor  eat healthy
448,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
449,chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,cold baths  anti itch medicine  consult doctor  eat healthy
460,peptic ulcer diseae,vomiting  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
461,peptic ulcer diseae,vomiting  indigestion  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
462,peptic ulcer diseae,indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
463,peptic ulcer diseae,vomiting  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
464,peptic ulcer diseae,vomiting  indigestion  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
465,peptic ulcer diseae,vomiting  indigestion  loss of appetite  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
466,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
467,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  passage of gases,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
468,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
469,peptic ulcer diseae,vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching,avoid fatty spicy food  consume probiotic food  eliminate milk  limit alcohol
470,aids,muscle wasting  patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
471,aids,patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
472,aids,muscle wasting  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
473,aids,muscle wasting  patches in throat  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
474,aids,muscle wasting  patches in throat  high fever,avoid open cuts  wear ppe if possible  consult doctor  follow up
475,aids,muscle wasting  patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
476,aids,muscle wasting  patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
477,aids,patches in throat  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
478,aids,muscle wasting  high fever  extra marital contacts,avoid open cuts  wear ppe if possible  consult doctor  follow up
479,aids,muscle wasting  patches in throat  high fever,avoid open cuts  wear ppe if possible  consult doctor  follow up
480,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
481,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
482,diabetes ,weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
483,diabetes ,fatigue  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
484,diabetes ,fatigue  weight loss  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
485,diabetes ,fatigue  weight loss  restlessness  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
486,diabetes ,fatigue  weight loss  restlessness  lethargy  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
487,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  obesity  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
488,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  excessive hunger  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
489,diabetes ,fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  increased appetite  polyuria,have balanced diet  exercise  consult doctor  follow up
490,gastroenteritis,vomiting  sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
491,gastroenteritis,vomiting  sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
492,gastroenteritis,sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
493,gastroenteritis,vomiting  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
494,gastroenteritis,vomiting  sunken eyes  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
495,gastroenteritis,vomiting  sunken eyes  dehydration,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
496,gastroenteritis,vomiting  sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
497,gastroenteritis,sunken eyes  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
498,gastroenteritis,vomiting  dehydration  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
499,gastroenteritis,vomiting  sunken eyes  diarrhoea,stop eating solid food for while  try taking small sips of water  rest  ease back into eating
500,bronchial asthma,fatigue  cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
501,bronchial asthma,cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
502,bronchial asthma,fatigue  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
503,bronchial asthma,fatigue  cough  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
504,bronchial asthma,fatigue  cough  high fever  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
505,bronchial asthma,fatigue  cough  high fever  breathlessness  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
506,bronchial asthma,fatigue  cough  high fever  breathlessness  family history,switch to loose cloothing  take deep breaths  get away from trigger  seek help
507,bronchial asthma,fatigue  cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
508,bronchial asthma,cough  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
509,bronchial asthma,fatigue  high fever  breathlessness  family history  mucoid sputum,switch to loose cloothing  take deep breaths  get away from trigger  seek help
510,hypertension ,headache  chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
511,hypertension ,chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
512,hypertension ,headache  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
513,hypertension ,headache  chest pain  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
514,hypertension ,headache  chest pain  dizziness  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
515,hypertension ,headache  chest pain  dizziness  loss of balance,meditation  salt baths  reduce stress  get proper sleep
516,hypertension ,headache  chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
517,hypertension ,chest pain  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
518,hypertension ,headache  dizziness  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
519,hypertension ,headache  chest pain  loss of balance  lack of concentration,meditation  salt baths  reduce stress  get proper sleep
520,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
521,migraine,indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
522,migraine,acidity  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
523,migraine,acidity  indigestion  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
524,migraine,acidity  indigestion  headache  excessive hunger  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
525,migraine,acidity  indigestion  headache  blurred and distorted vision  stiff neck  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
526,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  depression  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
527,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  irritability  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
528,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  visual disturbances,meditation  reduce stress  use poloroid glasses in sun  consult doctor
529,migraine,acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability,meditation  reduce stress  use poloroid glasses in sun  consult doctor
530,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
531,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
532,cervical spondylosis,weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
533,cervical spondylosis,back pain  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
534,cervical spondylosis,back pain  weakness in limbs  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
535,cervical spondylosis,back pain  weakness in limbs  neck pain  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
536,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
537,cervical spondylosis,back pain  weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
538,cervical spondylosis,weakness in limbs  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
539,cervical spondylosis,back pain  neck pain  dizziness  loss of balance,use heating pad or cold pack  exercise  take otc pain reliver  consult doctor
540,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
541,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
542,paralysis (brain hemorrhage),headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
543,paralysis (brain hemorrhage),vomiting  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
544,paralysis (brain hemorrhage),vomiting  headache  altered sensorium,massage  eat healthy  exercise  consult doctor
545,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side,massage  eat healthy  exercise  consult doctor
546,paralysis (brain hemorrhage),vomiting  headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
547,paralysis (brain hemorrhage),headache  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
548,paralysis (brain hemorrhage),vomiting  weakness of one body side  altered sensorium,massage  eat healthy  exercise  consult doctor
549,paralysis (brain hemorrhage),vomiting  headache  altered sensorium,massage  eat healthy  exercise  consult doctor
550,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
551,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
552,jaundice,vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
553,jaundice,itching  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
554,jaundice,itching  vomiting  weight loss  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
555,jaundice,itching  vomiting  fatigue  high fever  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
556,jaundice,itching  vomiting  fatigue  weight loss  yellowish skin  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
557,jaundice,itching  vomiting  fatigue  weight loss  high fever  dark urine  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
558,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  abdominal pain,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
559,jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine,drink plenty of water  consume milk thistle  eat fruits and high fiberous food  medication
560,malaria,chills  vomiting  high fever  sweating  headache  nausea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
561,malaria,chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
562,malaria,chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
563,malaria,vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
564,malaria,chills  high fever  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
565,malaria,chills  vomiting  sweating  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
566,malaria,chills  vomiting  high fever  headache  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
567,malaria,chills  vomiting  high fever  sweating  nausea  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
568,malaria,chills  vomiting  high fever  sweating  headache  diarrhoea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
569,malaria,chills  vomiting  high fever  sweating  headache  nausea  muscle pain,Consult nearest hospital  avoid oily food  avoid non veg food  keep mosquitos out
570,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
571,chicken pox,skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
572,chicken pox,itching  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
573,chicken pox,itching  skin rash  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
574,chicken pox,itching  skin rash  fatigue  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
575,chicken pox,itching  skin rash  fatigue  lethargy  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
576,chicken pox,itching  skin rash  fatigue  lethargy  high fever  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
577,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  mild fever  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
578,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  swelled lymph nodes  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
579,chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  malaise  red spots over body,use neem in bathing   consume neem leaves  take vaccine  avoid public places
580,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
581,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
582,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
583,dengue,skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
584,dengue,chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
585,dengue,skin rash  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
586,dengue,skin rash  chills  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
587,dengue,skin rash  chills  joint pain  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
588,dengue,skin rash  chills  joint pain  vomiting  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
589,dengue,skin rash  chills  joint pain  vomiting  fatigue  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body,drink papaya leaf juice  avoid fatty spicy food  keep mosquitos away  keep hydrated
590,typhoid,chills  vomiting  fatigue  high fever  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
591,typhoid,chills  vomiting  fatigue  high fever  headache  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
592,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
593,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
594,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
595,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
596,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos),eat high calorie vegitables  antiboitic therapy  consult doctor  medication
597,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
598,typhoid,chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
599,typhoid,chills  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,eat high calorie vegitables  antiboitic therapy  consult doctor  medication
600,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
601,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
602,hepatitis a,vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
603,hepatitis a,joint pain  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
604,hepatitis a,joint pain  vomiting  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
605,hepatitis a,joint pain  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
606,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
607,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
608,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  diarrhoea  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
609,hepatitis a,joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  mild fever  yellowing of eyes  muscle pain,Consult nearest hospital  wash hands through  avoid fatty spicy food  medication
610,hepatitis b,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
611,hepatitis b,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
612,hepatitis b,fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
613,hepatitis b,itching  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,consult nearest hospital  vaccination  eat healthy  medication
